number,company,symbol,ytd_return
433,EXPEDITORS INTL WASH INC,EXPD,-7.31%
434,HORMEL FOODS CORP,HRL,-7.38%
435,MICROCHIP TECHNOLOGY INC,MCHP,-7.43%
436,AMERICAN WATER WORKS CO INC,AWK,-7.77%
437,BUNGE GLOBAL SA,BG,-7.82%
438,SKYWORKS SOLUTIONS INC,SWKS,-7.92%
439,CARMAX INC,KMX,-7.97%
440,QUEST DIAGNOSTICS INC,DGX,-8.09%
441,REALTY INCOME CORP,O,-8.24%
442,TERADYNE INC,TER,-8.24%
443,MORGAN STANLEY,MS,-8.35%
444,REGENCY CENTERS CORP,REG,-8.63%
445,FREEPORT MCMORAN INC,FCX,-8.72%
446,ROBERT HALF INC,RHI,-9.01%
447,FRANKLIN RESOURCES INC,BEN,-9.16%
448,ANSYS INC,ANSS,-9.44%
449,AKAMAI TECHNOLOGIES INC,AKAM,-9.46%
450,KEYSIGHT TECHNOLOGIES IN,KEYS,-9.46%
451,STANLEY BLACK + DECKER INC,SWK,-9.61%
452,GILEAD SCIENCES INC,GILD,-9.64%
453,WHIRLPOOL CORP,WHR,-9.66%
454,ZIONS BANCORP NA,ZION,-9.73%
455,ADOBE INC,ADBE,-9.74%
456,CAESARS ENTERTAINMENT INC,CZR,-9.90%
457,DUPONT DE NEMOURS INC,DD,-10.23%
458,KENVUE INC,KVUE,-10.36%
459,DEERE + CO,DE,-10.65%
460,COMERICA INC,CMA,-10.71%
461,EXTRA SPACE STORAGE INC,EXR,-10.74%
462,PALO ALTO NETWORKS INC,PANW,-11.16%
463,ROYAL CARIBBEAN CRUISES LTD,RCL,-11.27%
464,INSULET CORP,PODD,-11.29%
465,EXPEDIA GROUP INC,EXPE,-11.30%
466,ROCKWELL AUTOMATION INC,ROK,-11.55%
467,VENTAS INC,VTR,-11.56%
468,MODERNA INC,MRNA,-11.93%
469,PAYCOM SOFTWARE INC,PAYC,-11.95%
470,GENERAC HOLDINGS INC,GNRC,-12.09%
471,HEWLETT PACKARD ENTERPRISE,HPE,-12.19%
472,APA CORP,APA,-12.37%
473,INVESCO LTD,IVZ,-12.67%
474,AMERICAN TOWER CORP,AMT,-12.81%
475,FIRST SOLAR INC,FSLR,-12.92%
476,LULULEMON ATHLETICA INC,LULU,-13.27%
477,APTIV PLC,APTV,-13.48%
478,INTEL CORP,INTC,-13.49%
479,AES CORP,AES,-14.03%
480,BAKER HUGHES CO,BKR,-14.16%
481,BIOGEN INC,BIIB,-14.55%
482,HEALTHPEAK PROPERTIES INC,PEAK,-15.05%
483,VF CORP,VFC,-15.05%
484,MOSAIC CO/THE,MOS,-15.39%
485,BORGWARNER INC,BWA,-15.56%
486,WARNER BROS DISCOVERY INC,WBD,-15.91%
487,C.H. ROBINSON WORLDWIDE INC,CHRW,-16.08%
488,3M CO,MMM,-16.11%
489,AIR PRODUCTS + CHEMICALS INC,APD,-16.69%
490,WALGREENS BOOTS ALLIANCE INC,WBA,-16.70%
491,ALBEMARLE CORP,ALB,-17.95%
492,SBA COMMUNICATIONS CORP,SBAC,-18.22%
493,FMC CORP,FMC,-18.94%
494,NEWMONT CORP,NEM,-19.23%
495,NORWEGIAN CRUISE LINE HOLDIN,NCLH,-19.66%
496,HUMANA INC,HUM,-19.70%
497,PARAMOUNT GLOBAL CLASS B,PARA,-20.22%
498,CARNIVAL CORP,CCL,-20.66%
499,TESLA INC,TSLA,-21.62%
500,BOEING CO/THE,BA,-22.67%
501,ARCHER DANIELS MIDLAND CO,ADM,-25.37%
502,CHARTER COMMUNICATIONS INC A,CHTR,-26.08%
503,MARKETAXESS HOLDINGS INC,MKTX,-26.58%
